,PSI
Own_House_Age,0.000814436936013915
Score_Source_1,0.0007935029830514959
Phone_Change,0.0004295301431026449
ID,0.0004038034032618093
Social_Circle_Default,0.00038980195864058836
Application_Process_Hour,0.00029490317874477533
Application_Process_Day,0.00027759065292809644
Score_Source_2,0.0001331185559054727
Cleint_City_Rating,9.839918389321827e-05
Credit_Bureau,8.140508309070703e-05
Child_Count,7.98369388103335e-05
Client_Family_Members,7.282143129731374e-05
Workphone_Working,6.828239742678009e-05
Mobile_Tag,2.6396943559436685e-05
Car_Owned,8.932818611333334e-06
Bike_Owned,2.819517810235046e-06
Homephone_Tag,1.2289631386703138e-06
Active_Loan,4.4035897120952877e-07
House_Own,3.8389146891575915e-07
Default,0.0
